URLSimilarityIndex,CharContinuationRate,LineOfCode,HasFavicon,Robots,HasDescription,HasSocialNet,HasHiddenFields,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfExternalRef
100.0,1.0,558.0,0,1,0,0,1,1,34.0,20,28.0,119,124
100.0,0.666666667,618.0,1,1,0,1,0,1,50.0,9,8.0,39,141
100.0,0.866666667,467.0,0,1,1,0,1,1,10.0,2,7.0,42,5
100.0,1.0,3164.5,0,1,0,1,1,1,3.0,20,15.0,22,31
100.0,1.0,3164.5,0,1,1,1,1,1,72.5,15,34.0,72,85
100.0,1.0,1210.0,0,0,1,1,1,1,35.0,1,11.0,86,14
100.0,1.0,2371.0,0,1,1,1,1,1,71.0,4,9.0,40,141
100.0,1.0,2730.0,1,1,1,1,0,1,10.0,1,12.0,173,65
82.6446281,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,1043.0,1,0,1,0,1,1,16.0,9,13.0,92,18
100.0,1.0,3164.5,1,0,0,1,0,0,16.0,4,7.0,4,14
100.0,1.0,2639.0,1,1,0,1,1,1,63.0,12,22.0,156,141
100.0,1.0,3164.5,1,0,0,0,0,1,12.0,14,19.0,2,14
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,14,33.0,168,90
100.0,0.625,719.0,1,0,1,0,0,0,21.0,0,2.0,2,1
55.28492647,0.923076923,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
56.55114117,1.0,20.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,0,1,1,1,0,1,72.5,4,10.0,220,93
100.0,0.631578947,407.0,1,0,1,0,1,1,37.0,10,21.0,2,7
100.0,1.0,317.0,0,0,0,0,0,1,14.0,2,4.0,2,4
45.84980237,0.526315789,43.0,0,0,0,0,0,0,1.0,0,0.0,1,1
54.51591943,0.571428571,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
100.0,1.0,1465.0,1,0,1,1,1,1,13.0,17,29.0,45,59
9.669201014,1.0,105.0,1,0,0,0,0,0,0.0,5,6.0,0,2
36.61221591,0.607142857,13.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,1.0,1331.0,0,0,0,1,1,1,15.0,20,17.0,49,13
100.0,0.777777778,2625.0,1,0,1,1,1,1,64.0,20,20.0,137,23
100.0,1.0,3164.5,0,0,1,1,0,1,72.5,3,20.0,93,9
79.25925926,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,1,1
100.0,1.0,229.0,0,0,0,1,0,1,3.0,4,8.0,7,4
76.65441176,1.0,2.0,0,0,0,0,0,0,0.0,0,1.0,1,1
47.36639754,0.583333333,8.0,0,0,0,0,0,0,0.0,0,0.0,0,0
49.27777778,0.6,2.0,0,0,0,0,0,0,0.0,1,1.0,1,1
100.0,1.0,2262.0,0,0,1,1,1,0,2.0,11,24.0,220,141
100.0,1.0,3051.0,0,0,1,1,1,1,56.0,1,18.0,71,141
34.32722951,0.482758621,108.0,0,0,0,0,0,0,0.0,0,0.0,0,3
9.20379461,1.0,11.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,325.0,1,0,1,0,0,1,1.0,1,1.0,21,21
100.0,0.769230769,567.0,1,1,0,1,1,1,9.0,10,20.0,83,84
76.13412229,0.826086957,141.0,0,0,0,0,0,0,4.0,0,0.0,0,3
100.0,1.0,3164.5,1,0,1,1,1,1,42.0,20,37.5,139,40
64.42974165,1.0,98.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,1,0,0,1,0,0,72.5,3,7.0,220,124
72.10884354,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,1,0,1,1,0,0,15.0,4,8.0,142,91
100.0,1.0,3164.5,0,1,1,1,1,1,3.0,8,37.5,220,141
32.01743956,1.0,90.0,0,1,0,0,1,0,0.0,2,0.0,2,2
100.0,1.0,533.0,0,0,0,0,0,1,1.0,1,3.0,1,10
62.82548476,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,0.857142857,812.0,0,0,1,1,0,1,9.0,6,5.0,22,11
100.0,1.0,1138.0,0,1,1,1,0,0,18.0,16,19.0,143,141
100.0,1.0,801.0,1,0,1,1,1,1,23.0,2,9.0,66,67
100.0,1.0,3164.5,0,0,1,1,0,1,63.0,5,7.0,220,141
48.80952381,0.5625,9.0,0,0,0,0,0,0,0.0,0,0.0,0,0
84.78444632,1.0,2.0,0,0,0,0,0,0,0.0,0,0.0,0,0
78.18181818,1.0,11.0,0,0,0,0,0,0,0.0,0,0.0,0,1
52.18836565,0.769230769,16.0,0,0,0,0,0,0,0.0,0,0.0,0,2
100.0,1.0,662.0,1,0,1,1,0,1,65.0,6,11.0,71,48
100.0,1.0,3164.5,0,1,1,1,0,1,19.0,13,29.0,133,141
100.0,1.0,3164.5,1,0,1,0,0,1,72.5,6,10.0,220,141
19.41043084,0.916666667,3.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,1193.0,1,0,1,1,0,1,25.0,2,20.0,81,94
63.42364532,0.541666667,191.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,1.0,621.0,1,0,1,1,0,1,18.0,20,16.0,79,12
72.91666667,1.0,44.0,0,0,0,0,0,0,0.0,0,0.0,1,0
72.68915895,0.297297297,10.0,0,0,0,0,0,0,0.0,0,0.0,0,0
100.0,1.0,3164.5,1,0,1,1,1,1,72.5,7,37.5,145,19
66.69538462,0.80952381,68.0,0,0,0,0,0,0,0.0,0,0.0,0,1
100.0,0.625,3164.5,1,0,0,1,1,1,11.0,2,4.0,220,11
100.0,1.0,420.0,1,0,1,0,0,0,18.0,7,20.0,80,14
