number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9962811591001142,2026-08-11 11:13:46.094802,2026-08-11 11:13:48.184135,0 days 00:00:02.089333,0.6232334448672797,0.7800932022121826,0.08960785365368121,10,6,350,0.6245760287469893,0.002570603566117598,0.662397808134481,COMPLETE
1,0.995763804471949,2026-08-11 11:13:48.186143,2026-08-11 11:13:50.555718,0 days 00:00:02.369575,0.6733618039413735,1.0616955533913808,0.18276027831785724,3,9,483,5.472429642032198e-06,0.00052821153945323,0.6727299868828402,COMPLETE
2,0.9961324542340417,2026-08-11 11:13:50.555718,2026-08-11 11:13:52.533266,0 days 00:00:01.977548,0.7824279936868144,1.4607232426760908,0.06252287916406217,5,2,373,0.1165691561324743,6.267062696005991e-07,0.7465447373174767,COMPLETE
3,0.9955064456721915,2026-08-11 11:13:52.533266,2026-08-11 11:13:55.107457,0 days 00:00:02.574191,0.9795542149013333,0.8526206184364576,0.011492999300221412,7,7,406,4.905556676028774,0.18861495878553936,0.6260206371941118,COMPLETE
4,0.9953214219930006,2026-08-11 11:13:55.107985,2026-08-11 11:13:57.156115,0 days 00:00:02.048130,0.6137554084460873,0.6101911742238941,0.07766184280392888,3,5,322,1.527156759251193,2.133142332373004e-06,0.798070764044508,COMPLETE
5,0.995654095462581,2026-08-11 11:13:57.156115,2026-08-11 11:13:59.427312,0 days 00:00:02.271197,0.9100531293444458,0.9242722776276352,0.04749239763680407,5,6,465,2.854239907497756,1.1309571585271483,0.9878338511058234,COMPLETE
6,0.9964284399278324,2026-08-11 11:13:59.427312,2026-08-11 11:14:02.949926,0 days 00:00:03.522614,0.7554709158757928,0.22613644455269033,0.01303561122512888,10,2,439,2.7678419414850017e-06,0.28749982347407854,0.7301321323053057,COMPLETE
7,0.9956534551348165,2026-08-11 11:14:02.949926,2026-08-11 11:14:05.088124,0 days 00:00:02.138198,0.9947547746402069,4.010984903770199,0.05082341959721458,5,2,343,0.08916674715636537,6.143857495033091e-07,0.6298202574719083,COMPLETE
8,0.9958753774766148,2026-08-11 11:14:05.088124,2026-08-11 11:14:06.522239,0 days 00:00:01.434115,0.7433862914177091,3.8563517334297286,0.08310795711416077,9,8,202,1.1036250149900698e-07,0.5860448217200517,0.6296178606936361,COMPLETE
9,0.9949907918968692,2026-08-11 11:14:06.522239,2026-08-11 11:14:09.156456,0 days 00:00:02.634217,0.8550229885420852,1.6259166101337352,0.012097379927033842,5,4,449,0.9658611176861268,0.0001778010520878397,0.8918424713352255,COMPLETE
10,0.9961327391256307,2026-08-11 11:14:09.156456,2026-08-11 11:14:12.813656,0 days 00:00:03.657200,0.7691005300077898,2.828065453407016,0.023289829963030428,8,10,585,0.00028185317575043605,5.2059404028917625e-08,0.8392701643962919,COMPLETE
11,0.9968700519203152,2026-08-11 11:14:12.814179,2026-08-11 11:14:15.141739,0 days 00:00:02.327560,0.6174428317012499,0.15689602475459427,0.17003049371529194,10,1,273,0.0011799577823345714,0.002114232397037538,0.7157343310557601,COMPLETE
12,0.996723242885019,2026-08-11 11:14:15.142741,2026-08-11 11:14:17.396920,0 days 00:00:02.254179,0.7134273905237329,0.10005204664906896,0.027983279812958096,10,1,228,0.0001855855438816641,0.020406347526056808,0.7299246238055185,COMPLETE
13,0.996539027982327,2026-08-11 11:14:17.396920,2026-08-11 11:14:19.569317,0 days 00:00:02.172397,0.6851460075537706,0.012638683916076782,0.19428670744587545,9,1,231,0.0011906205924620216,0.006990488242775538,0.7307630912278928,COMPLETE
14,0.996649114408808,2026-08-11 11:14:19.569317,2026-08-11 11:14:21.662993,0 days 00:00:02.093676,0.6783202726682215,2.067070498463564,0.028298393394119926,10,1,271,0.0013081486547028437,4.95750394600607e-05,0.7930941878659539,COMPLETE
15,0.9963906894519741,2026-08-11 11:14:21.662993,2026-08-11 11:14:23.992996,0 days 00:00:02.330003,0.7045089523386593,0.04249379728753813,0.02764873219964844,8,3,292,3.3664295654411355e-05,0.023835528711847923,0.695834348289019,COMPLETE
